English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish
I,እኔ (ine),انا (ana),ni,أنا (ana),أَنَا (anā),أنا (ana),tôi,saya,aku,ako,ನಾನು (nānu),நான் (nāṉ),నేను (nēnu),আমি (ami),हम (ham),I,je,હું (hũ),मैं (ma͠i),من (man),io,मी (mī),eu,я (ja),yo,ich,میں (maĩ),میں (maĩ),我 (wa),나 (na),ฉัน (chan),mimi,我 (wǒ),我 (ngù),我 (ngóh),ben
you (sg.),አንተ (ante),انت (inta),kai,إنت (inta),أَنْتَ (anta),إنت (inta),bạn,kamu,kowé,ikaw,ನೀನು (nīnu),நீ (nī),నువ్వు (nuvvu),তুমি (tumi),ते (te),you,tu,તું (tũ),तू (tū),تو (to),tu,तू (tū),tu,ты (ty),tú,du,تو (tū),توں (toṉ),貴方 (anata),너 (neo),คุณ (khun),wewe,你 (nǐ),儂 (non),你 (néih),sen
we,እኛ (iña),احنا (eḥna),mu,إحنا (iḥna),نَحْنُ (naḥnu),إحنا (eḥna),chúng tôi,kami,awaké dhéwé,tayo,ನಾವು (nāvu),நாம் (nām),మనము (manamu),আমরা (amra),हमनी (hamnī),we,nous,અમે (ame),हम (ham),ما (mâ),noi,आम्ही (āmhī),nós,мы (my),nosotros,wir,ہم (ham),اسیں (asī̃),私達 (watashitachi),우리 (uri),เรา (rao),sisi,我們 (wǒmen),阿拉 (aq laq),我哋 (ngóh deih),biz
this,ይህ (yih),ده (dah),wannan,هاد (hād),هٰذَا (hādhā),ده (da),này,ini,iki,ito,ಇದು (idu),இது (itu),ఇది (idi),এ (e),इह (ih),this,ceci,આ (ā),यह (yah),این (in),questo,हा (hā),este,э́то (éto),este,dieser,یہ (yeh),ایہہ (iha),此れ (kore),이 (i),นี้ (ni),huyu,這 (zhè),搿 (geq),呢 (nī),bu
that,ያ (ya),دوّت (dawwat),wancan,هداك (hadāk),ذٰلِكَ (dhālika),داك (dāk),đó,itu,iku,iyon,ಅದು (adu),அது (atu),అది (adi),ও (ō),उह (uh),that,cela,પેલું (pelũ),वह (vah),آن (ân),quello,तो (to),aquele,то (to),ese,jener,وہ (voh),اوہ (uha),其れ (sore),저 (jeo),นั้น (nan),yule,那 (nà),埃 (e),嗰 (gó),şu
who,ማን (man),مين (mīn),wa,مين (mīn),مَنْ (man),منو (minu),ai,siapa,sapa,sino,ಯಾರು (yāru),யார் (yār),ఎవరు (evaru),কে (ke),कवन (kavan),who,qui,કોણ (koṇ),कौन (kaun),کی (ki),chi,कोण (koṇ),quem,кто (kto),quién,wer,کون (kaun),کَون (kaun),誰 (dare),누구 (nugu),ใคร (khrai),nani,誰 (shéi),啥人 (sa gnin),邊個 (bīn go),kim
what,ምን (min),ايه (ēh),me,إيش (īsh),مَا (mā),شنو (shinu),gì,apa,apa,ano,ಏನು (ēnu),என்ன (eṉṉa),ఏమిటి (ēmiṭi),কী (ki),का (kā),what,quoi,શું (śũ),क्या (kyā),چه (če),cosa,काय (kāy),que,что (što),qué,was,کیا (kyā),کیہہ (keh),何 (nani),무엇 (mu-eot),อะไร (arai),nini,什麼 (shénme),啥 (sa),乜 (mat),ne
not,አይደለም (aydelem),مش (mish),ba,مُش (mush),لَا (lā),ما (ma),không,tidak,ora,hindi,ಅಲ್ಲ (alla),இல்லை (illai),కాదు (kādu),না (na),ना (nā),not,ne pas,નહીં (nahī̃),नहीं (nahī̃),نـ (na),non,नाही (nāhī),não,не (ne),no,nicht,نہیں (nahī̃),نہیں (nheṉ),ない (nai),아니다 (anida),ไม่ (mai),si,不 (bù),勿 (veq),唔 (m̀h),değil
all,ሁሉም (hulum),كل (kull),duk,كل (kull),كُلّ (kull),كل (kulla),tất cả,semua,kabèh,lahat,ಎಲ್ಲ (ella),அனைத்து (aṉaittu),అందరు (andaru),সব (śobo),कुल (kul),all,tout,બધું (badhũ),सब (sab),همه (hame),tutto,सगळे (sagḷe),todo,всё (vsjo),todo,alle,سب (sab),سارا (sārā),皆 (mina),모든 (modeun),ทั้งหมด (thangmot),ote,都 (dōu),全部 (zhi bu),全部 (chyùhn bouh),bütün
many,ብዙ (bizu),كتير (kitīr),da yawa,كتير (ktīr),كَثِير (kathīr),كتير (katīr),nhiều,banyak,akèh,marami,ಹಲ (hala),பல (pala),చాలా (cālā),অনেক (onek),जादे (zāde),many,beaucoup,ઘણું (ghaṇũ),बहुत (bahut),خیلی (xeyli),molto,पुष्कळ (puṣkaḷ),muito,мно́го (mnógo),mucho,viele,بہت (bahut),کئی (k'ī),多い (ooi),많은 (maneun),หลาย (lai),ingi,多 (duō),交關 (ciau kue),多 (dō),çok
one,አንድ (and),واحد (wāḥid),ɗaya,واحد (wāḥad),وَاحِد (wāḥid),واحد (wāḥid),một,satu,siji,isa,ಒಂದು (ondu),ஒன்று (oṉṟu),ఒకటి (okaṭi),এক (ek),एक (ek),one,un,એક (eka),एक (ek),یک (yek),uno,एक (ek),um,оди́н (odín),uno,eins,یک (ek),اِکّ (īkk),一 (hito),하나 (hana),หนึ่ง (nueng),moja,一 (yī),一 (iq),一 (yāt),bir
two,ሁለት (hulet),اتنين (itnēn),biyu,تنين (tnēn),اِثْنَان (ithnān),إتنين (itnēn),hai,dua,loro,dalawa,ಎರಡು (eraḍu),இரண்டு (iraṇṭu),రెండు (reṇḍu),দুই (dui),दु (du),two,deux,બે (be),दो (do),دو (do),due,दोन (don),dois,два (dva),dos,zwei,دو (do),دو (do),二 (futa),둘 (dul),สอง (song),mbili,二 (èr),兩 (lian),二 (yíh),iki
big,ትልቅ (tilik),كبير (kabīr),babba,كبير (kbīr),كَبِير (kabīr),كبير (kabīr),lớn,besar,gedhé,malaki,ದೊಡ್ಡ (doḍḍa),பெரிய (periya),పెద్ద (pedda),বড় (boṛ),बड़ (baṛ),big,grand,મોટું (moṭũ),बड़ा (baṛā),بزرگ (bozorg),grande,मोठे (moṭhe),grande,большо́й (bolʹšój),grande,groß,بڑا (baṛā),وڈا (vḍā),大きい (ōkii),크다 (keuda),ใหญ่ (yai),kubwa,大 (dà),大 (du),大 (daaih),büyük
long,ረጅም (rejim),طويل (ṭawīl),dogo,طويل (ṭawīl),طَوِيل (ṭawīl),طويل (ṭawīl),dài,panjang,dawa,mahaba,ನಿಡು (niḍu),நீளமான (nīḷamāṉa),పొడవైన (poḍavaina),লম্বা (lomba),लाम (lām),long,long,લાંબુ (lā̃bu),लम्बा (lambā),دراز (derâz),lungo,लांब (lāmba),longo,дли́нный (dlínnyj),largo,lang,لمبا (lambā),لمما (lamma),長い (nagai),길다 (gilda),ยาว (yao),refu,長 (cháng),長 (zan),長 (chèuhng),uzun
small,ትንሽ (tinish),صغيّر (ṣughayyar),ƙarami,زغير (zghīr),صَغِير (ṣaghīr),صغير (ṣughayyar),nhỏ,kecil,cilik,maliit,ಸಣ್ಣ (saṇṇa),சின்ன (ciṉṉa),చిన్న (cinna),ছোট (chōṭ),छोट (choṭ),small,petit,નાનું (nānũ),छोटा (choṭā),کوچک (kuček),piccolo,लहान (lahān),pequeno,ма́ленький (málenʹkij),pequeño,klein,چھوٹا (choṭā),چھوٹا (choṭā),小さい (chīsai),작다 (jakda),เล็ก (lek),dogo,小 (xiǎo),小 (shiau),細 (sai),küçük
woman,ሴት (set),ست (sitt),mace,مرة (mara),اِمْرَأَة (imra'a),مرة (marah),đàn bà,perempuan,wadon,babae,ಹೆಂಗಸು (heṅgasu),பெண் (peṇ),ఆడది (āḍadi),মহিলা (mohila),मेहरारू (mehrārū),woman,femme,બાઈડી (bāīḍī),औरत (aurat),زن (zan),donna,बाई (bāī),mulher,же́нщина (žénščina),mujer,Frau,عورت (aurat),عورت (aurat),女 (onna),여자 (yeoja),หญิง (ying),mwanamke,女人 (nǚrén),女人 (gniu gnin),女人 (neóih yàhn),kadın
man,ወንድ (wend),راجل (rāgil),mutum,زلمة (zalame),رَجُل (rajul),راجل (rāgil),đàn ông,lelaki,lanang,lalaki,ಗಂಡಸು (gaṇḍasu),ஆள் (āḷ),మగవాడు (magavāḍu),পুরুষ (puruś),मरद (marad),man,homme,માણસ (māṇas),आदमी (ādmī),مرد (mard),uomo,पुरुष (puruṣ),homem,мужчи́на (mužčína),varón,Mann,آدمی (ādmī),آدمی (ādamī),男 (otoko),남자 (namja),ชาย (chai),mwanamume,男人 (nánrén),男人 (noe gnin),男人 (nàahm yàhn),adam
person,ሰው (sew),انسان (insān),ɗan Adam,إنسان (insān),إِنْسَان (insān),زول (zōl),người,manusia,wong,tao,ಮನುಷ್ಯ (manuṣya),மனிதன் (maṉitaṉ),మనిషి (maniṣi),মানুষ (manuś),इंसान (insān),person,personne,માણસ (māṇas),इंसान (insān),انسان (ensân),persona,माणूस (māṇūs),pessoa,челове́к (čelovék),hombre,Mensch,انسان (insān),انسان (inasān),人 (hito),사람 (saram),คน (khon),mtu,人 (rén),人 (gnin),人 (yàhn),insan
fish,ዓሣ ('asa),سمكة (samaka),kifi,سمكة (samake),سَمَك (samak),حوت (ḥūt),cá,ikan,iwak,isda,ಮೀನು (mīnu),மீன் (mīṉ),చేప (cēpa),মাছ (mach),मछरी (machrī),fish,poisson,માછલી (māchlī),मछली (machlī),ماهی (mâhi),pesce,मासा (māsā),peixe,ры́ба (rýba),pez,Fisch,مچھلی (machlī),مچھی (macchī),魚 (uo),물고기 (mulgogi),ปลา (pla),samaki,魚 (yú),魚 (ng),魚 (jyùh),balık
bird,ወፍ (wef),طير (ṭayr),tsuntsu,عصفور ('aṣfūr),طَائِر (ṭā'ir),طير (ṭayr),chim,burung,manuk,ibon,ಹಕ್ಕಿ (hakki),பறவை (paṟavai),పక్షి (pakṣi),পাখি (pakhi),चिड़ईं (chiṛaī̃),bird,oiseau,પંખી (paṅkhī),चिड़िया (ciṛiyā),پرنده (parande),uccello,पक्षी (pakṣī),pássaro,пти́ца (ptíca),pájaro,Vogel,چڑیا (ciṛiyā),پنچھی (pañchī),鳥 (tori),새 (sae),นก (nok),ndege,鳥 (niǎo),鳥 (gniau),雀 (jeuk),kuş
dog,ውሻ (wishsha),كلب (kalb),kare,كلب (kalb),كَلْب (kalb),كلب (kalib),chó,anjing,asu,aso,ನಾಯಿ (nāyi),நாய் (nāy),కుక్క (kukka),কুকুর (kukur),कुकुर (kukur),dog,chien,કુતરો (kutro),कुत्ता (kuttā),سگ (sag),cane,कुत्रा (kutrā),cão,соба́ка (sobáka),perro,Hund,کتا (kuttā),کتا (kuttā),犬 (inu),개 (gae),หมา (ma),mbwa,狗 (gǒu),狗 (keu),狗 (gáu),köpek
louse,ቅማል (qimal),قملة (amla),kwarkwa,قملة (qamle),قَمْل (qaml),قملة (gamla),rận,kutu,tuma,kuto,ಹೇನು (hēnu),பேன் (pēṉ),పేను (pēnu),উকুন (ukun),लीख (līkh),louse,pou,જૂ (jū),जूँ (jū̃),شپش (šepeš),pidocchio,ऊ (ū),piolho,вошь (vošʹ),piojo,Laus,جوں (jū̃),جوں (jū̃),虱 (shirami),이 (i),เหา (hao),chawa,虱 (shī),老白蝨 (lau baq seq),蝨 (sat),bit
tree,ዛፍ (zaf),شجرة (shagara),itace,شجرة (shajara),شَجَرَة (shajarah),شجرة (shajarah),cây,pohon,wit,puno,ಮರ (mara),மரம் (maram),చెట్టు (ceṭṭu),গাছ (gach),फेड़ (pheṛ),tree,arbre,ઝાડ (jhāḍ),पेड़ (peṛ),درخت (deraxt),albero,झाड (j̈hāḍ),árvore,де́рево (dérevo),árbol,Baum,درخت (darakht),رُکھ (rukh),木 (ki),나무 (namu),ต้นไม้ (tonmai),mti,樹 (shù),樹 (zy),樹 (syuh),ağaç
seed,ዘር (zer),حباية (ḥabbāya),iri,بذرة (bizra),زَرْع (zar'),تراب (turāb),hạt,biji,wiji,buto,ಬೀಜ (bīja),விதை (vitai),విత్తనం (vittanaṁ),বীজ (bij),बीया (bīyā),seed,graine,બીજ (bīj),बीज (bīj),بذر (bazr),seme,बी (bī),semente,се́мя (sémja),semilla,Samen,بیج (bīj),بیج (bīj),種 (tane),씨 (ssi),เม็ด (met),mbegu,種子 (zhǒngzi),籽 (tsy),種子 (júng jí),tohum
